alert_id,type,title,message,item_id,time_ago,risk_score
ALT-0007,critical,Critical Stock Level,Long Grain Rice has dropped to 12 units (threshold: 59),71-594-6552,5 mins ago,100
ALT-0025,critical,Critical Stock Level,Bread Flour has dropped to 27 units (threshold: 93),55-936-2406,1 hour ago,100
ALT-0099,critical,Critical Stock Level,Cucumber has dropped to 13 units (threshold: 60),66-993-4234,43 mins ago,100
ALT-0186,critical,Critical Stock Level,Heavy Cream has dropped to 14 units (threshold: 99),70-149-6756,1 hour ago,100
ALT-0204,critical,Critical Stock Level,Pomegranate has dropped to 19 units (threshold: 65),28-840-6096,1 hour ago,100
ALT-0222,critical,Critical Stock Level,Sourdough Bread has dropped to 12 units (threshold: 86),73-561-2867,20 mins ago,100
ALT-0269,critical,Critical Stock Level,Green Tea has dropped to 15 units (threshold: 66),06-706-6490,1 hour ago,100
ALT-0274,critical,Critical Stock Level,Avocado Oil has dropped to 10 units (threshold: 86),00-357-2313,1 hour ago,100
ALT-0294,critical,Critical Stock Level,Pomegranate has dropped to 14 units (threshold: 66),63-822-5278,51 mins ago,100
ALT-0315,critical,Critical Stock Level,Egg (Goose) has dropped to 14 units (threshold: 63),00-215-7434,10 mins ago,100
ALT-0337,critical,Critical Stock Level,Mozzarella Cheese has dropped to 16 units (threshold: 56),79-400-6216,1 hour ago,100
ALT-0401,critical,Critical Stock Level,Short Grain Rice has dropped to 18 units (threshold: 62),92-791-0606,1 hour ago,100
ALT-0403,critical,Critical Stock Level,Arabica Coffee has dropped to 22 units (threshold: 89),84-629-1532,1 hour ago,100
ALT-0412,critical,Critical Stock Level,Brown Rice has dropped to 17 units (threshold: 88),30-591-7275,26 mins ago,100
ALT-0423,critical,Critical Stock Level,Trout has dropped to 19 units (threshold: 94),28-824-9017,1 hour ago,100
ALT-0432,critical,Critical Stock Level,Evaporated Milk has dropped to 23 units (threshold: 100),59-857-6577,15 mins ago,100
ALT-0473,critical,Critical Stock Level,Sourdough Bread has dropped to 12 units (threshold: 59),56-635-6764,1 hour ago,100
ALT-0524,critical,Critical Stock Level,Egg (Turkey) has dropped to 19 units (threshold: 100),67-512-9754,1 hour ago,100
ALT-0559,critical,Critical Stock Level,Cauliflower has dropped to 19 units (threshold: 73),37-666-3902,1 hour ago,100
ALT-0570,critical,Critical Stock Level,Pear has dropped to 26 units (threshold: 95),65-644-1394,40 mins ago,100
ALT-0578,critical,Critical Stock Level,Butter has dropped to 21 units (threshold: 87),19-672-8982,1 hour ago,100
ALT-0586,critical,Critical Stock Level,Whole Wheat Bread has dropped to 17 units (threshold: 63),88-183-5781,1 hour ago,100
ALT-0603,critical,Critical Stock Level,Papaya has dropped to 20 units (threshold: 91),45-172-7012,43 mins ago,100
ALT-0630,critical,Critical Stock Level,Watermelon has dropped to 23 units (threshold: 85),28-505-8317,1 hour ago,100
ALT-0646,critical,Critical Stock Level,Black Coffee has dropped to 11 units (threshold: 72),88-951-9038,21 mins ago,100
ALT-0682,critical,Critical Stock Level,Raw Sugar has dropped to 19 units (threshold: 81),92-551-8504,1 hour ago,100
ALT-0690,critical,Critical Stock Level,Whipped Cream has dropped to 14 units (threshold: 87),26-134-9069,1 hour ago,100
ALT-0738,critical,Critical Stock Level,Milk has dropped to 18 units (threshold: 64),37-606-0510,12 mins ago,100
ALT-0749,critical,Critical Stock Level,Grapes has dropped to 13 units (threshold: 61),95-356-1566,48 mins ago,100
ALT-0761,critical,Critical Stock Level,Rice Flour has dropped to 15 units (threshold: 76),62-816-8794,21 mins ago,100
ALT-0784,critical,Critical Stock Level,Coconut Sugar has dropped to 17 units (threshold: 85),10-626-8536,1 hour ago,100
ALT-0819,critical,Critical Stock Level,Sesame Oil has dropped to 14 units (threshold: 84),72-810-9753,1 hour ago,100
ALT-0875,critical,Critical Stock Level,Evaporated Milk has dropped to 15 units (threshold: 75),76-070-1411,1 hour ago,100
