date,sales_count,total_quantity
2025-11-25,678,2182
2025-11-26,675,2239
2025-11-27,661,2170
2025-11-28,693,2311
2025-11-29,671,2142
2025-11-30,700,2342
2025-12-01,702,2310
2025-12-02,674,2142
2025-12-03,669,2135
2025-12-04,672,2134
2025-12-05,679,2173
2025-12-06,672,2177
2025-12-07,682,2263
2025-12-08,684,2163
2025-12-09,669,2127
2025-12-10,679,2250
2025-12-11,704,2223
2025-12-12,678,2155
2025-12-13,670,2145
2025-12-14,694,2249
2025-12-15,685,2187
2025-12-16,674,2180
2025-12-17,675,2226
2025-12-18,675,2231
2025-12-19,698,2232
2025-12-20,660,2153
2025-12-21,683,2226
2025-12-22,688,2214
2025-12-23,690,2314
2025-12-24,707,2297
2025-12-25,672,2129
