sku_id,product_name,category,quantity,velocity,status,icon
29-205-1132,Sushi Rice,Grains & Pulses,22,32,Low,grain
40-681-9981,Arabica Coffee,Beverages,45,85,Low,coffee
06-955-3428,Black Rice,Grains & Pulses,30,31,Low,grain
71-594-6552,Long Grain Rice,Grains & Pulses,12,95,Critical,grain
57-437-1828,Plum,Fruits & Vegetables,37,62,Stocked,nutrition
21-120-6238,All-Purpose Flour,Grains & Pulses,55,34,Stocked,grain
71-516-1996,Corn Oil,Oils & Fats,96,67,Stocked,water_drop
39-629-5554,Egg (Goose),Dairy,44,21,Low,egg
66-268-8345,Greek Yogurt,Dairy,91,56,Stocked,egg
46-452-9419,Egg (Duck),Dairy,43,27,Stocked,egg
51-469-4611,Long Grain Rice,Grains & Pulses,62,100,Low,grain
42-220-9305,White Sugar,Grains & Pulses,91,100,Low,grain
75-094-1179,Rye Bread,Bakery,26,47,Low,bakery_dining
11-073-0189,Plum,Fruits & Vegetables,95,69,Stocked,nutrition
22-621-2774,Strawberries,Fruits & Vegetables,54,63,Stocked,nutrition
39-449-0772,Feta Cheese,Dairy,94,20,Stocked,egg
55-936-2406,Bread Flour,Grains & Pulses,27,66,Critical,grain
82-041-7211,Swiss Cheese,Dairy,49,78,Low,egg
48-414-6162,Arabica Coffee,Beverages,55,46,Low,coffee
76-854-0095,White Sugar,Grains & Pulses,65,29,Stocked,grain
25-349-7974,Spinach,Fruits & Vegetables,72,82,Stocked,nutrition
66-627-9752,Trout,Seafood,49,52,Low,set_meal
78-614-4402,Green Beans,Fruits & Vegetables,81,20,Low,nutrition
67-025-1245,Cabbage,Fruits & Vegetables,88,73,Stocked,nutrition
68-418-6724,Parmesan Cheese,Dairy,63,59,Stocked,egg
40-795-0753,Raw Sugar,Grains & Pulses,31,46,Low,grain
02-508-3777,Egg (Quail),Dairy,97,97,Stocked,egg
79-741-0770,Mushrooms,Fruits & Vegetables,72,94,Low,nutrition
31-211-5803,Oatmeal Biscuit,Bakery,16,50,Stocked,bakery_dining
16-499-5059,Pear,Fruits & Vegetables,77,61,Stocked,nutrition
76-340-4432,Cucumber,Fruits & Vegetables,19,31,Low,nutrition
38-732-7667,Pineapple,Fruits & Vegetables,18,42,Low,nutrition
04-240-2226,Olive Oil,Oils & Fats,47,42,Low,water_drop
79-136-9840,Herbal Tea,Beverages,77,25,Stocked,coffee
73-401-5721,Haddock,Seafood,46,65,Stocked,set_meal
91-848-0606,Onion,Fruits & Vegetables,39,60,Stocked,nutrition
54-109-8062,Sushi Rice,Grains & Pulses,75,43,Stocked,grain
70-612-2531,Pineapple,Fruits & Vegetables,48,51,Low,nutrition
26-161-6692,Zucchini,Fruits & Vegetables,61,79,Low,nutrition
43-893-5408,Short Grain Rice,Grains & Pulses,60,47,Low,grain
11-316-8405,Mango,Fruits & Vegetables,24,39,Low,nutrition
34-086-3222,Lemon,Fruits & Vegetables,12,66,Stocked,nutrition
21-816-1004,Black Coffee,Beverages,84,25,Stocked,coffee
43-693-2092,Butter,Dairy,51,40,Low,egg
63-270-7076,Multigrain Bread,Bakery,65,32,Stocked,bakery_dining
90-230-9767,Long Grain Rice,Grains & Pulses,67,66,Low,grain
05-334-2923,Bread Flour,Grains & Pulses,14,37,Critical,grain
52-481-5224,Kiwi,Fruits & Vegetables,45,44,Stocked,nutrition
11-325-7396,Mango,Fruits & Vegetables,92,24,Stocked,nutrition
70-854-6891,Sourdough Bread,Bakery,41,42,Low,bakery_dining
46-520-1819,Short Grain Rice,Grains & Pulses,41,38,Stocked,grain
