shipment_id,product_id,product_name,quantity,supplier,expected_date,status,priority
SHP-00043,66-993-4234,Cucumber,100,Gigazoom,2025-12-26,arriving_today,urgent
SHP-00079,70-149-6756,Heavy Cream,97,Skynoodle,2025-12-26,arriving_today,urgent
SHP-00105,76-325-9093,Sesame Oil,56,Feedbug,2025-12-26,arriving_today,urgent
SHP-00114,06-706-6490,Green Tea,85,Tanoodle,2025-12-26,arriving_today,urgent
SHP-00117,83-704-6367,Arabica Coffee,12,Feedmix,2025-12-26,arriving_today,urgent
SHP-00124,63-822-5278,Pomegranate,1,Kamba,2025-12-26,arriving_today,urgent
SHP-00169,92-791-0606,Short Grain Rice,2,Photobean,2025-12-26,arriving_today,urgent
SHP-00170,84-629-1532,Arabica Coffee,25,Chatterpoint,2025-12-26,arriving_today,urgent
SHP-00182,59-857-6577,Evaporated Milk,77,Blognation,2025-12-26,arriving_today,urgent
SHP-00228,37-666-3902,Cauliflower,60,Meevee,2025-12-26,arriving_today,urgent
SHP-00231,65-644-1394,Pear,36,Lazz,2025-12-26,arriving_today,urgent
SHP-00259,28-505-8317,Watermelon,94,Digitube,2025-12-26,arriving_today,urgent
SHP-00303,37-606-0510,Milk,86,Jabbercube,2025-12-26,arriving_today,urgent
SHP-00311,21-013-3508,Cabbage,49,Meevee,2025-12-26,arriving_today,urgent
SHP-00313,62-816-8794,Rice Flour,81,Photobug,2025-12-26,arriving_today,urgent
SHP-00322,10-626-8536,Coconut Sugar,74,Lazz,2025-12-26,arriving_today,urgent
SHP-00356,76-070-1411,Evaporated Milk,78,Realcube,2025-12-26,arriving_today,urgent
SHP-00369,48-289-0604,Vegetable Oil,71,Browseblab,2025-12-26,arriving_today,urgent
SHP-00376,87-391-9658,Corn Oil,13,Centizu,2025-12-26,arriving_today,urgent
SHP-00383,35-031-1497,Green Coffee,20,Linklinks,2025-12-26,arriving_today,urgent
SHP-00407,50-329-3145,Milk,48,Jatri,2025-12-26,arriving_today,urgent
SHP-00498,27-269-5260,Pineapple,65,Rhyloo,2025-12-26,arriving_today,urgent
SHP-00503,58-946-5152,Bread Flour,7,Avaveo,2025-12-26,arriving_today,urgent
SHP-00513,39-913-2999,Evaporated Milk,97,Centimia,2025-12-26,arriving_today,urgent
SHP-00520,42-134-9798,Canola Oil,87,Omba,2025-12-26,arriving_today,urgent
SHP-00531,47-548-6500,Onion,37,Devpulse,2025-12-26,arriving_today,urgent
