transaction_id,product_id,quantity_change,type,timestamp,running_stock
TXN-013795,82-948-2298,94,RESTOCK,2025-11-25 06:08:20,182
TXN-011502,12-046-2988,66,RESTOCK,2025-11-25 06:22:20,106
TXN-020830,85-806-8672,87,RESTOCK,2025-11-25 06:25:20,159
TXN-006661,07-074-1196,62,RESTOCK,2025-11-25 06:52:20,110
TXN-022189,22-778-3553,49,RESTOCK,2025-11-25 06:52:20,113
TXN-001018,05-334-2923,71,RESTOCK,2025-11-25 07:03:20,120
TXN-009350,41-735-9837,78,RESTOCK,2025-11-25 07:09:20,121
TXN-004098,83-704-6367,12,RESTOCK,2025-11-25 07:36:20,52
TXN-006167,61-801-8665,17,RESTOCK,2025-11-25 07:40:20,91
TXN-004192,38-417-4656,2,RESTOCK,2025-11-25 07:47:20,44
TXN-008850,19-672-8982,67,RESTOCK,2025-11-25 07:47:20,152
TXN-000205,75-094-1179,31,RESTOCK,2025-11-25 07:52:20,102
TXN-009129,76-090-4411,-2,SALE,2025-11-25 08:00:20,85
TXN-017280,80-039-1261,-8,SALE,2025-11-25 08:00:20,112
TXN-006456,16-380-0753,-2,SALE,2025-11-25 08:02:20,69
TXN-010660,82-678-8097,-3,SALE,2025-11-25 08:02:20,155
TXN-009785,58-122-2282,-2,SALE,2025-11-25 08:03:20,102
TXN-008420,90-303-1821,-2,SALE,2025-11-25 08:04:20,78
TXN-008112,93-966-7754,-1,SALE,2025-11-25 08:05:20,89
TXN-015973,66-327-2821,-7,SALE,2025-11-25 08:05:20,138
TXN-006090,84-629-1532,25,RESTOCK,2025-11-25 08:06:20,74
TXN-016634,93-014-4256,41,RESTOCK,2025-11-25 08:06:20,107
TXN-009187,45-172-7012,12,RESTOCK,2025-11-25 08:10:20,64
TXN-009323,61-796-6540,-1,SALE,2025-11-25 08:10:20,110
TXN-017040,60-911-3745,-7,SALE,2025-11-25 08:15:20,161
TXN-004936,15-762-1058,-5,SALE,2025-11-25 08:16:20,105
TXN-019102,19-112-1616,-2,SALE,2025-11-25 08:16:20,111
TXN-022529,28-044-4102,-8,SALE,2025-11-25 08:16:20,102
TXN-015152,86-273-9377,20,RESTOCK,2025-11-25 08:17:20,99
TXN-005847,28-008-2951,-2,SALE,2025-11-25 08:19:20,145
TXN-020695,58-005-5343,-7,SALE,2025-11-25 08:19:20,120
TXN-003427,39-479-5147,-2,SALE,2025-11-25 08:20:20,130
TXN-005355,32-933-0329,-4,SALE,2025-11-25 08:20:20,59
TXN-002603,36-636-4873,-5,SALE,2025-11-25 08:23:20,161
TXN-001792,12-239-9399,-2,SALE,2025-11-25 08:26:20,56
TXN-009730,92-995-8689,-2,SALE,2025-11-25 08:26:20,92
TXN-003166,02-655-3240,-1,SALE,2025-11-25 08:27:20,134
TXN-000973,63-270-7076,-3,SALE,2025-11-25 08:30:20,94
TXN-010553,76-623-7844,-4,SALE,2025-11-25 08:30:20,75
TXN-002889,29-896-7926,-5,SALE,2025-11-25 08:31:20,77
TXN-009234,30-996-2526,-5,SALE,2025-11-25 08:31:20,179
TXN-007443,86-330-0214,-2,SALE,2025-11-25 08:33:20,125
TXN-020470,57-167-0669,-1,SALE,2025-11-25 08:34:20,47
TXN-021863,06-731-2162,-3,SALE,2025-11-25 08:37:20,145
TXN-017150,65-854-9364,-5,SALE,2025-11-25 08:38:20,86
TXN-002911,54-822-9009,-2,SALE,2025-11-25 08:39:20,59
TXN-010729,41-237-5498,-2,SALE,2025-11-25 08:39:20,142
TXN-001234,68-761-6907,-4,SALE,2025-11-25 08:40:20,79
TXN-008497,04-001-1793,-1,SALE,2025-11-25 08:41:20,130
TXN-016633,93-014-4256,-4,SALE,2025-11-25 08:41:20,66
TXN-018822,62-998-7250,-2,SALE,2025-11-25 08:42:20,122
TXN-005443,77-224-2227,-1,SALE,2025-11-25 08:44:20,117
TXN-003473,48-957-6116,-2,SALE,2025-11-25 08:45:20,75
TXN-005749,85-561-4694,-3,SALE,2025-11-25 08:47:20,95
TXN-019381,48-242-8445,-4,SALE,2025-11-25 08:47:20,81
TXN-003832,10-002-6494,-3,SALE,2025-11-25 08:48:20,132
TXN-016917,31-157-1822,-1,SALE,2025-11-25 08:49:20,189
TXN-004026,06-706-6490,-3,SALE,2025-11-25 08:50:20,72
TXN-003057,51-572-5497,-1,SALE,2025-11-25 08:51:20,70
TXN-011834,50-942-2409,-4,SALE,2025-11-25 08:51:20,167
TXN-014371,53-667-4109,-2,SALE,2025-11-25 08:51:20,36
TXN-020654,04-637-8815,-3,SALE,2025-11-25 08:52:20,121
TXN-013903,11-053-0107,-2,SALE,2025-11-25 08:53:20,70
TXN-014651,93-571-7294,-2,SALE,2025-11-25 08:53:20,145
TXN-000127,66-268-8345,-3,SALE,2025-11-25 08:54:20,144
TXN-012921,75-672-4378,-3,SALE,2025-11-25 08:55:20,104
TXN-011968,95-738-4658,-7,SALE,2025-11-25 08:56:20,164
